store_id,store_name,region,sku,upc,department,subcategory,cost,retail,on_hand_start,received_units,sold_units,adjustments,on_hand_end,shrink_units,shrink_cost,shrink_type,shrink_reason_detail,date,week_number,shrink_rate,zero_sale_shrink,shrink_greater_than_sales,negative_sales_or_shrink
S001,Loblaws - Midtown,Ontario,SKU0288,408836285621,Frozen,Ice Cream,33.72,58.27,75.00,20.00,14.00,-1.00,80.00,0.00,0,None,None,9/1/2025,1,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0124,441031364324,Produce,Bananas,35.02,47.77,5.00,14.00,4.00,0.00,14.00,1.00,35.02,Spoilage,Past sell-by,10/27/2025,9,25.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0374,449050081052,Seafood,Smoked Seafood,49.65,84.27,38.00,17.00,4.00,-1.00,48.00,2.00,99.3,Vendor Shortage,Short delivery,9/1/2025,1,50.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0338,494481218287,General Merchandise,Seasonal,24.18,40.86,26.00,23.00,7.00,1.00,43.00,0.00,0,None,None,11/10/2025,11,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0241,488354592695,Produce,Tomatoes,9.82,19.51,49.00,31.00,22.00,0.00,53.00,5.00,49.1,Spoilage,Expired,11/10/2025,11,22.73%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0070,404033992825,General Merchandise,Seasonal,6.21,15.29,98.00,16.00,26.00,0.00,88.00,0.00,0,None,None,10/13/2025,7,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0300,467819135883,Seafood,Fresh Fish,1.8,3.46,6.00,15.00,2.00,0.00,18.00,1.00,1.8,Spoilage,Damaged,11/17/2025,12,50.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0345,476570469531,Bakery,Pastries,13.92,26.87,47.00,25.00,22.00,0.00,40.00,10.00,139.2,Spoilage,Past sell-by,11/17/2025,12,45.45%,0,0,0
S003,Real Canadian - North,Ontario,SKU0313,410537891829,Frozen,Ice Cream,34.59,48.62,14.00,24.00,4.00,-2.00,32.00,0.00,0,None,None,9/29/2025,5,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0108,458122698264,Produce,Leafy Greens,33.25,42.88,28.00,25.00,8.00,0.00,41.00,4.00,133,Spoilage,Past sell-by,11/17/2025,12,50.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0332,415778878332,Grocery,Cereal,49,95.98,43.00,24.00,20.00,0.00,47.00,0.00,0,None,None,11/17/2025,12,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0326,417072850692,Meat,Pork,20,44.67,83.00,19.00,46.00,0.00,53.00,3.00,60,Spoilage,Expired,11/17/2025,12,6.52%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0259,441959419085,Health & Beauty,Razors,39.02,72.33,27.00,19.00,9.00,-1.00,36.00,0.00,0,None,None,11/3/2025,10,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0345,476570469531,Bakery,Pastries,13.92,26.87,43.00,20.00,15.00,0.00,43.00,5.00,69.6,Spoilage,Past sell-by,10/20/2025,8,33.33%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0301,419549174744,Grocery,Beverages,30.79,40.4,7.00,11.00,2.00,0.00,16.00,0.00,0,None,None,9/8/2025,2,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0158,408438856718,Seafood,Shellfish,6.75,16.57,85.00,29.00,40.00,-1.00,69.00,4.00,27,Theft,Shoplifting,9/8/2025,2,10.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0045,446162203547,General Merchandise,Kitchenware,3.33,6.52,55.00,17.00,26.00,0.00,46.00,0.00,0,None,None,9/29/2025,5,0.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0090,410479173015,Bakery,Cakes,35.82,53.9,53.00,22.00,29.00,0.00,38.00,8.00,286.56,Process Error,Receiving error,11/10/2025,11,27.59%,0,0,0
S002,Fortinos - West,Ontario,SKU0188,449193025350,Seafood,Shellfish,33.69,72.98,13.00,21.00,9.00,0.00,23.00,2.00,67.38,Vendor Shortage,Short delivery,11/3/2025,10,22.22%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0186,441665809182,Bakery,Bread,32.64,44.12,62.00,13.00,34.00,1.00,36.00,6.00,195.84,Theft,Shoplifting,9/15/2025,3,17.65%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0047,414619104687,Meat,Pork,47.11,91.42,52.00,16.00,19.00,-1.00,46.00,2.00,94.22,Spoilage,Past sell-by,11/3/2025,10,10.53%,0,0,0
S003,Real Canadian - North,Ontario,SKU0075,499319509462,Grocery,Cereal,45.05,83.76,41.00,31.00,17.00,-1.00,54.00,0.00,0,None,None,9/1/2025,1,0.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0012,422526291403,Meat,Pork,23.38,36.26,20.00,26.00,8.00,0.00,37.00,1.00,23.38,Theft,Organized retail crime,9/22/2025,4,12.50%,0,0,0
S003,Real Canadian - North,Ontario,SKU0077,455578438759,Frozen,Frozen Vegetables,34.03,80.78,34.00,17.00,16.00,0.00,35.00,0.00,0,None,None,9/8/2025,2,0.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0036,457356271327,Meat,Prepared Meat,20.85,48.43,28.00,21.00,15.00,0.00,33.00,1.00,20.85,Spoilage,Expired,10/6/2025,6,6.67%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0175,467624999479,Produce,Citrus,41.73,99.06,13.00,24.00,1.00,0.00,32.00,4.00,166.92,Spoilage,Past sell-by,9/1/2025,1,400.00%,0,1,0
S001,Loblaws - Midtown,Ontario,SKU0030,488784219449,Bakery,Cakes,18.98,44.97,39.00,28.00,6.00,1.00,56.00,6.00,113.88,Theft,Customer theft,10/13/2025,7,100.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0277,467411183547,Seafood,Smoked Seafood,31.77,71.64,61.00,20.00,12.00,0.00,67.00,2.00,63.54,Process Error,Mislabeling,11/3/2025,10,16.67%,0,0,0
S002,Fortinos - West,Ontario,SKU0353,438694507843,Dairy,Milk,28.61,38.32,15.00,22.00,3.00,0.00,34.00,0.00,0,None,None,9/22/2025,4,0.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0069,487407507057,Meat,Chicken,25.72,53.58,67.00,25.00,31.00,0.00,58.00,3.00,77.16,Spoilage,Past sell-by,11/10/2025,11,9.68%,0,0,0
S003,Real Canadian - North,Ontario,SKU0144,457251070810,Meat,Pork,34.84,54.86,41.00,16.00,6.00,0.00,50.00,1.00,34.84,Spoilage,Past sell-by,9/1/2025,1,16.67%,0,0,0
S003,Real Canadian - North,Ontario,SKU0164,411797271712,Dairy,Cheese,21.98,29.19,65.00,18.00,24.00,-2.00,55.00,2.00,43.96,Theft,Customer theft,9/15/2025,3,8.33%,0,0,0
S002,Fortinos - West,Ontario,SKU0301,419549174744,Grocery,Beverages,30.79,40.4,85.00,22.00,39.00,0.00,67.00,1.00,30.79,Process Error,Receiving error,9/15/2025,3,2.56%,0,0,0
S002,Fortinos - West,Ontario,SKU0164,411797271712,Dairy,Cheese,21.98,29.19,58.00,19.00,19.00,0.00,57.00,1.00,21.98,Spoilage,Expired,11/10/2025,11,5.26%,0,0,0
S002,Fortinos - West,Ontario,SKU0294,424634535947,Meat,Beef,25.2,42.92,60.00,21.00,18.00,0.00,60.00,3.00,75.6,Spoilage,Expired,11/17/2025,12,16.67%,0,0,0
S002,Fortinos - West,Ontario,SKU0005,444764787985,Seafood,Smoked Seafood,14.25,21.09,61.00,36.00,17.00,0.00,76.00,4.00,57,Spoilage,Temperature breach,9/15/2025,3,23.53%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0310,408711797819,Grocery,Canned,2.75,5.59,18.00,11.00,5.00,0.00,24.00,0.00,0,None,None,10/6/2025,6,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0292,461727327452,Health & Beauty,Baby Formula,38.27,74.48,62.00,19.00,29.00,0.00,52.00,0.00,0,None,None,11/17/2025,12,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0242,408408353522,General Merchandise,Batteries,22.8,51.4,69.00,29.00,28.00,-2.00,68.00,0.00,0,None,None,11/17/2025,12,0.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0236,481097779327,Health & Beauty,Razors,32.33,80.26,53.00,19.00,37.00,0.00,35.00,0.00,0,None,None,9/15/2025,3,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0086,432458810745,Health & Beauty,Toiletries,45.91,62.34,66.00,16.00,31.00,-1.00,50.00,0.00,0,None,None,11/3/2025,10,0.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0253,469153873002,Meat,Chicken,38.66,88.36,29.00,20.00,9.00,0.00,39.00,1.00,38.66,Theft,Customer theft,10/20/2025,8,11.11%,0,0,0
S003,Real Canadian - North,Ontario,SKU0213,482839737518,Frozen,Frozen Vegetables,15.97,21.31,46.00,18.00,12.00,0.00,52.00,0.00,0,None,None,9/29/2025,5,0.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0326,417072850692,Meat,Pork,20,44.67,77.00,15.00,35.00,1.00,56.00,2.00,40,Spoilage,Expired,10/13/2025,7,5.71%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0252,427858321486,Bakery,Cakes,11.71,16.15,34.00,13.00,15.00,0.00,27.00,5.00,58.55,Process Error,Counting error,10/20/2025,8,33.33%,0,0,0
S003,Real Canadian - North,Ontario,SKU0001,437544673531,Meat,Beef,12.62,17.43,68.00,17.00,29.00,0.00,53.00,3.00,37.86,Process Error,Mislabeling,11/17/2025,12,10.34%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0357,492632914992,Grocery,Cereal,37.99,54.26,85.00,26.00,41.00,0.00,69.00,1.00,37.99,Process Error,Receiving error,9/1/2025,1,2.44%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0254,445792637403,General Merchandise,Kitchenware,43.88,87.91,32.00,24.00,11.00,0.00,45.00,0.00,0,None,None,10/20/2025,8,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0021,489200452323,Meat,Chicken,17.34,27.42,65.00,27.00,46.00,0.00,44.00,2.00,34.68,Process Error,Counting error,10/20/2025,8,4.35%,0,0,0
S003,Real Canadian - North,Ontario,SKU0202,487866623558,General Merchandise,Seasonal,48.22,61.68,44.00,21.00,26.00,0.00,39.00,0.00,0,None,None,10/20/2025,8,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0041,456548875618,Meat,Pork,24.54,36.27,6.00,11.00,3.00,0.00,13.00,1.00,24.54,Theft,Organized retail crime,11/3/2025,10,33.33%,0,0,0
S002,Fortinos - West,Ontario,SKU0243,488066367387,Grocery,Canned,9.04,13.76,43.00,24.00,3.00,0.00,64.00,0.00,0,None,None,11/17/2025,12,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0336,460210877534,Meat,Pork,16.03,22.39,22.00,26.00,4.00,0.00,42.00,2.00,32.06,Process Error,Receiving error,9/8/2025,2,50.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0286,483519572238,Dairy,Yogurt,36.02,51.03,77.00,16.00,37.00,0.00,56.00,0.00,0,None,None,10/13/2025,7,0.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0080,439018899720,Seafood,Smoked Seafood,26.01,52.61,96.00,24.00,35.00,0.00,79.00,6.00,156.06,Process Error,Scan error,9/29/2025,5,17.14%,0,0,0
S003,Real Canadian - North,Ontario,SKU0056,491068757003,Bakery,Cakes,31.89,49.21,88.00,25.00,31.00,0.00,73.00,9.00,287.01,Spoilage,Expired,11/3/2025,10,29.03%,0,0,0
S002,Fortinos - West,Ontario,SKU0233,470998407102,General Merchandise,Kitchenware,10.1,22.31,29.00,12.00,6.00,0.00,35.00,0.00,0,None,None,9/15/2025,3,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0230,462784369933,Grocery,Snacks,41.69,99.88,7.00,15.00,4.00,0.00,18.00,0.00,0,None,None,11/17/2025,12,0.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0156,433060504030,Grocery,Beverages,28.8,43.3,40.00,20.00,6.00,0.00,54.00,0.00,0,None,None,10/13/2025,7,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0233,470998407102,General Merchandise,Kitchenware,10.1,22.31,70.00,26.00,45.00,0.00,51.00,0.00,0,None,None,9/8/2025,2,0.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0217,401507634128,Dairy,Yogurt,9.48,13.14,72.00,20.00,36.00,0.00,54.00,2.00,18.96,Process Error,Receiving error,9/8/2025,2,5.56%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0310,408711797819,Grocery,Canned,2.75,5.59,56.00,26.00,26.00,0.00,55.00,1.00,2.75,Spoilage,Past sell-by,9/22/2025,4,3.85%,0,0,0
S002,Fortinos - West,Ontario,SKU0044,426434651095,General Merchandise,Cleaning,15.19,37.36,66.00,23.00,25.00,0.00,64.00,0.00,0,None,None,9/8/2025,2,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0246,414300912921,Grocery,Canned,28.12,47.88,63.00,16.00,13.00,0.00,65.00,1.00,28.12,Theft,Customer theft,9/15/2025,3,7.69%,0,0,0
S002,Fortinos - West,Ontario,SKU0214,490858874250,General Merchandise,Batteries,24.37,56.09,66.00,11.00,45.00,0.00,32.00,0.00,0,None,None,9/15/2025,3,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0075,499319509462,Grocery,Cereal,45.05,83.76,20.00,14.00,12.00,0.00,22.00,0.00,0,None,None,9/22/2025,4,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0001,437544673531,Meat,Beef,12.62,17.43,22.00,33.00,12.00,0.00,41.00,2.00,25.24,Spoilage,Temperature breach,10/6/2025,6,16.67%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0138,460663637027,Dairy,Butter,34.59,72.97,56.00,15.00,6.00,0.00,64.00,1.00,34.59,Spoilage,Past sell-by,9/15/2025,3,16.67%,0,0,0
S002,Fortinos - West,Ontario,SKU0372,449064406677,Meat,Beef,35.17,66.95,45.00,16.00,16.00,0.00,43.00,2.00,70.34,Spoilage,Expired,11/10/2025,11,12.50%,0,0,0
S003,Real Canadian - North,Ontario,SKU0061,419025789079,Grocery,Snacks,2.57,4.3,29.00,23.00,14.00,-1.00,37.00,0.00,0,None,None,10/27/2025,9,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0347,486868598265,Produce,Citrus,12.03,16,71.00,23.00,38.00,2.00,50.00,8.00,96.24,Process Error,Counting error,9/29/2025,5,21.05%,0,0,0
S002,Fortinos - West,Ontario,SKU0074,457398894166,General Merchandise,Batteries,3.96,8.17,47.00,15.00,17.00,0.00,45.00,0.00,0,None,None,11/3/2025,10,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0390,474803331693,Produce,Citrus,26.73,45.57,49.00,21.00,35.00,-1.00,30.00,4.00,106.92,Process Error,Receiving error,10/20/2025,8,11.43%,0,0,0
S003,Real Canadian - North,Ontario,SKU0129,483391832431,Bakery,Bread,30.01,60.14,112.00,23.00,38.00,0.00,89.00,8.00,240.08,Process Error,Counting error,11/10/2025,11,21.05%,0,0,0
S003,Real Canadian - North,Ontario,SKU0097,475687017337,Frozen,Frozen Vegetables,1.83,3.13,32.00,15.00,9.00,0.00,38.00,0.00,0,None,None,9/29/2025,5,0.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0262,409814270928,Meat,Beef,38.27,59.5,13.00,14.00,1.00,0.00,25.00,1.00,38.27,Theft,Customer theft,11/3/2025,10,100.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0359,445000322710,Seafood,Fresh Fish,46.82,56.6,100.00,16.00,36.00,0.00,75.00,5.00,234.1,Spoilage,Expired,9/1/2025,1,13.89%,0,0,0
S003,Real Canadian - North,Ontario,SKU0295,495607216550,General Merchandise,Kitchenware,22.59,56.37,60.00,18.00,13.00,-2.00,63.00,0.00,0,None,None,9/29/2025,5,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0245,491647589043,Dairy,Butter,30.1,67,53.00,27.00,19.00,0.00,60.00,1.00,30.1,Spoilage,Expired,10/6/2025,6,5.26%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0001,437544673531,Meat,Beef,12.62,17.43,65.00,27.00,12.00,0.00,77.00,3.00,37.86,Spoilage,Expired,9/22/2025,4,25.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0399,444541838485,Grocery,Snacks,20.99,40.54,26.00,24.00,6.00,0.00,44.00,0.00,0,None,None,10/6/2025,6,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0342,437459263293,Health & Beauty,Baby Formula,14.75,28.7,29.00,18.00,14.00,0.00,33.00,0.00,0,None,None,9/15/2025,3,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0104,437363917552,Bakery,Deli Bread,38.46,54.54,64.00,13.00,19.00,0.00,48.00,10.00,384.6,Process Error,Counting error,9/29/2025,5,52.63%,0,0,0
S002,Fortinos - West,Ontario,SKU0283,425656947453,Frozen,Ice Cream,25.06,46.28,51.00,17.00,13.00,0.00,55.00,0.00,0,None,None,9/22/2025,4,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0324,475463785039,Frozen,Frozen Meals,10.14,19.46,49.00,18.00,16.00,0.00,51.00,0.00,0,None,None,11/17/2025,12,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0217,401507634128,Dairy,Yogurt,9.48,13.14,22.00,23.00,8.00,1.00,38.00,0.00,0,None,None,11/10/2025,11,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0281,489617921191,Grocery,Canned,16.93,23.06,68.00,27.00,5.00,0.00,89.00,1.00,16.93,Spoilage,Damaged,9/1/2025,1,20.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0276,404867957151,Meat,Chicken,17.94,29.42,26.00,23.00,8.00,0.00,40.00,1.00,17.94,Spoilage,Past sell-by,10/27/2025,9,12.50%,0,0,0
S003,Real Canadian - North,Ontario,SKU0139,410470094617,Dairy,Butter,30.1,70.92,33.00,14.00,12.00,0.00,34.00,1.00,30.1,None,None,9/15/2025,3,8.33%,0,0,0
S003,Real Canadian - North,Ontario,SKU0195,428150108098,Bakery,Bread,29.53,66.65,53.00,28.00,12.00,0.00,61.00,8.00,236.24,Spoilage,Temperature breach,9/22/2025,4,66.67%,0,0,0
S002,Fortinos - West,Ontario,SKU0153,412300902025,Bakery,Pastries,14.17,31.56,49.00,17.00,21.00,0.00,40.00,5.00,70.85,Process Error,Receiving error,10/27/2025,9,23.81%,0,0,0
S002,Fortinos - West,Ontario,SKU0060,498282193584,Produce,Bananas,45.24,86.38,30.00,21.00,19.00,0.00,30.00,2.00,90.48,Spoilage,Expired,9/15/2025,3,10.53%,0,0,0
S003,Real Canadian - North,Ontario,SKU0156,433060504030,Grocery,Beverages,28.8,43.3,79.00,20.00,38.00,0.00,60.00,1.00,28.8,Theft,Customer theft,10/6/2025,6,2.63%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0028,467258117644,Seafood,Fresh Fish,47.37,67.01,42.00,15.00,10.00,0.00,45.00,2.00,94.74,Theft,Organized retail crime,10/27/2025,9,20.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0355,436369872286,Seafood,Smoked Seafood,10.04,13.52,69.00,20.00,47.00,0.00,40.00,2.00,20.08,Theft,Customer theft,11/3/2025,10,4.26%,0,0,0
S003,Real Canadian - North,Ontario,SKU0143,449263319540,Health & Beauty,Toiletries,20.71,33.5,73.00,18.00,27.00,0.00,62.00,2.00,41.42,Theft,Organized retail crime,9/29/2025,5,7.41%,0,0,0
S003,Real Canadian - North,Ontario,SKU0365,491257169138,Frozen,Frozen Vegetables,37.86,88.41,56.00,15.00,30.00,0.00,41.00,0.00,0,None,None,11/17/2025,12,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0077,455578438759,Frozen,Frozen Vegetables,34.03,80.78,56.00,23.00,9.00,0.00,70.00,0.00,0,None,None,11/3/2025,10,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0393,480580872532,Produce,Bananas,36.35,70.03,27.00,23.00,16.00,1.00,31.00,4.00,145.4,Spoilage,Past sell-by,9/29/2025,5,25.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0142,438294241024,General Merchandise,Cleaning,9.48,18.59,68.00,18.00,39.00,-1.00,46.00,0.00,0,None,None,10/20/2025,8,0.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0045,446162203547,General Merchandise,Kitchenware,3.33,6.52,108.00,21.00,23.00,0.00,106.00,0.00,0,None,None,9/22/2025,4,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0142,438294241024,General Merchandise,Cleaning,9.48,18.59,14.00,26.00,6.00,1.00,35.00,0.00,0,None,None,9/22/2025,4,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0131,416063561269,Dairy,Milk,47.41,69.7,56.00,20.00,25.00,0.00,51.00,0.00,0,None,None,9/29/2025,5,0.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0400,434429402313,Bakery,Pastries,27.89,54.64,14.00,23.00,1.00,-2.00,31.00,3.00,83.67,Spoilage,Temperature breach,10/20/2025,8,300.00%,0,1,0
S003,Real Canadian - North,Ontario,SKU0154,436540455091,Frozen,Ice Cream,41.12,64.46,19.00,13.00,2.00,0.00,30.00,0.00,0,None,None,10/6/2025,6,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0059,463313104671,Dairy,Cheese,27.81,48.83,42.00,20.00,7.00,0.00,55.00,0.00,0,None,None,10/20/2025,8,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0207,489562062829,Meat,Beef,32.72,71.97,5.00,23.00,1.00,0.00,26.00,1.00,32.72,Spoilage,Damaged,10/13/2025,7,100.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0268,426868988675,Meat,Beef,41.83,80.04,21.00,21.00,3.00,0.00,37.00,2.00,83.66,Spoilage,Past sell-by,10/6/2025,6,66.67%,0,0,0
S002,Fortinos - West,Ontario,SKU0100,459407662450,Frozen,Ice Cream,12.99,16.97,16.00,18.00,8.00,1.00,27.00,0.00,0,None,None,9/8/2025,2,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0164,411797271712,Dairy,Cheese,21.98,29.19,16.00,21.00,7.00,0.00,30.00,0.00,0,None,None,10/13/2025,7,0.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0104,437363917552,Bakery,Deli Bread,38.46,54.54,88.00,20.00,48.00,0.00,52.00,8.00,307.68,Process Error,Receiving error,11/10/2025,11,16.67%,0,0,0
S002,Fortinos - West,Ontario,SKU0311,480603475139,Dairy,Cheese,21.12,42.89,57.00,17.00,28.00,0.00,45.00,1.00,21.12,Spoilage,Past sell-by,9/15/2025,3,3.57%,0,0,0
S003,Real Canadian - North,Ontario,SKU0339,476931987464,Seafood,Shellfish,17.45,28.98,48.00,18.00,20.00,0.00,42.00,4.00,69.8,Process Error,Counting error,10/13/2025,7,20.00%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0358,445162786548,Frozen,Ice Cream,4.79,9.92,33.00,24.00,11.00,-2.00,44.00,0.00,0,None,None,11/10/2025,11,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0191,450918770857,Health & Beauty,Cosmetics,5.42,11.34,62.00,12.00,22.00,0.00,52.00,0.00,0,None,None,11/17/2025,12,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0070,404033992825,General Merchandise,Seasonal,6.21,15.29,34.00,25.00,8.00,0.00,51.00,0.00,0,None,None,11/10/2025,11,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0036,457356271327,Meat,Prepared Meat,20.85,48.43,44.00,24.00,12.00,0.00,55.00,1.00,20.85,Vendor Shortage,Invoice mismatch,10/27/2025,9,8.33%,0,0,0
S002,Fortinos - West,Ontario,SKU0367,476574001502,Meat,Beef,45.19,66.1,98.00,26.00,48.00,0.00,73.00,3.00,135.57,Spoilage,Expired,11/17/2025,12,6.25%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0088,462482634267,Health & Beauty,Razors,44.91,97.31,80.00,16.00,24.00,0.00,72.00,0.00,0,None,None,9/15/2025,3,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0097,475687017337,Frozen,Frozen Vegetables,1.83,3.13,5.00,28.00,5.00,0.00,28.00,0.00,0,None,None,10/6/2025,6,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0130,440556177902,General Merchandise,Cleaning,43.08,107.14,23.00,14.00,12.00,0.00,25.00,0.00,0,None,None,9/8/2025,2,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0153,412300902025,Bakery,Pastries,14.17,31.56,81.00,19.00,32.00,0.00,58.00,10.00,141.7,Process Error,Scan error,10/13/2025,7,31.25%,0,0,0
S002,Fortinos - West,Ontario,SKU0179,418042276277,Frozen,Frozen Meals,39.43,92.24,52.00,24.00,13.00,0.00,63.00,0.00,0,None,None,9/8/2025,2,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0038,426592676864,Meat,Pork,27.05,37.39,5.00,25.00,2.00,0.00,27.00,1.00,27.05,Vendor Shortage,Vendor mis-ship,10/20/2025,8,50.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0348,490626150291,Grocery,Beverages,38.65,46.64,95.00,23.00,44.00,0.00,73.00,1.00,38.65,Theft,Shoplifting,9/8/2025,2,2.27%,0,0,0
S003,Real Canadian - North,Ontario,SKU0372,449064406677,Meat,Beef,35.17,66.95,56.00,28.00,21.00,-2.00,58.00,3.00,105.51,Spoilage,Past sell-by,11/17/2025,12,14.29%,0,0,0
S003,Real Canadian - North,Ontario,SKU0332,415778878332,Grocery,Cereal,49,95.98,47.00,18.00,25.00,0.00,40.00,0.00,0,None,None,10/13/2025,7,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0022,437450743307,Seafood,Shellfish,48.61,106.48,31.00,19.00,8.00,0.00,39.00,3.00,145.83,Spoilage,Expired,9/1/2025,1,37.50%,0,0,0
S003,Real Canadian - North,Ontario,SKU0359,445000322710,Seafood,Fresh Fish,46.82,56.6,21.00,17.00,13.00,0.00,24.00,1.00,46.82,Process Error,Scan error,10/20/2025,8,7.69%,0,0,0
S003,Real Canadian - North,Ontario,SKU0155,420896135157,Dairy,Butter,22.6,41.35,18.00,16.00,4.00,0.00,30.00,0.00,0,None,None,10/20/2025,8,0.00%,0,0,0
S003,Real Canadian - North,Ontario,SKU0334,466930722835,Bakery,Bread,8.94,18.04,46.00,20.00,9.00,0.00,52.00,5.00,44.7,Theft,Organized retail crime,9/29/2025,5,55.56%,0,0,0
S001,Loblaws - Midtown,Ontario,SKU0192,451799668213,General Merchandise,Seasonal,14.16,34.81,37.00,30.00,11.00,0.00,56.00,0.00,0,None,None,9/8/2025,2,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0055,499243963817,Seafood,Shellfish,27.88,43.33,54.00,24.00,17.00,0.00,58.00,3.00,83.64,Theft,Customer theft,9/22/2025,4,17.65%,0,0,0
S002,Fortinos - West,Ontario,SKU0054,441036704342,Dairy,Milk,46.62,62.22,58.00,21.00,17.00,0.00,62.00,0.00,0,None,None,11/17/2025,12,0.00%,0,0,0
S002,Fortinos - West,Ontario,SKU0201,470660825243,General Merchandise,Kitchenware,11.47,22.94,40.00,18.00,12.00,0.00,46.00,0.00,0,None,None,9/29/2025,5,0.00%,0,0,0
